subject_id,slice_index,component_count,minimum_component_distance_px,raw_box_overlap_area,adaptive_box_overlap_area,components_merged,clipping_used,single_dice,raw_multibox_dice,adaptive_dice,adaptive_clipped_dice,raw_improvement_over_single,adaptive_improvement_over_raw,clipped_improvement_over_adaptive
sub-086,4,1,nan,0,0,False,True,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.24113475177304963,0.0,0.0,0.0
sub-086,5,2,6.0,170,0,False,True,0.7511929107021131,0.7508350033400134,0.8394675019577134,0.8394675019577134,-0.00035790736209972973,0.08863249861769995,0.0
sub-086,6,2,11.704699910719626,0,0,False,True,0.7126436781609196,0.8746458923512748,0.8746458923512748,0.8746458923512748,0.1620022141903552,0.0,0.0
sub-086,7,1,nan,0,0,False,True,0.8660477453580901,0.8660477453580901,0.8660477453580901,0.8660477453580901,0.0,0.0,0.0
sub-086,8,1,nan,0,0,False,True,0.9522668264429798,0.9522668264429798,0.9522668264429798,0.9522668264429798,0.0,0.0,0.0
sub-086,9,1,nan,0,0,False,True,0.9407848633496847,0.9407848633496847,0.9407848633496847,0.9407848633496847,0.0,0.0,0.0
sub-086,10,1,nan,0,0,False,True,0.9439195367266078,0.9439195367266078,0.9439195367266078,0.9439195367266078,0.0,0.0,0.0
sub-086,11,1,nan,0,0,False,True,0.9464887451138968,0.9464887451138968,0.9464887451138968,0.9464887451138968,0.0,0.0,0.0
sub-086,12,1,nan,0,0,False,True,0.9550006032090723,0.9550006032090723,0.9550006032090723,0.9550006032090723,0.0,0.0,0.0
sub-086,13,1,nan,0,0,False,True,0.9679268158271795,0.9679268158271795,0.9679268158271795,0.9679268158271795,0.0,0.0,0.0
sub-086,14,1,nan,0,0,False,True,0.972787702534275,0.972787702534275,0.972787702534275,0.972787702534275,0.0,0.0,0.0
sub-086,15,2,8.0,42,0,False,True,0.975292843783837,0.96880195599022,0.9703028521023228,0.9703028521023228,-0.006490887793616951,0.0015008961121028008,0.0
sub-086,16,1,nan,0,0,False,True,0.968841642228739,0.968841642228739,0.968841642228739,0.968841642228739,0.0,0.0,0.0
sub-086,17,1,nan,0,0,False,True,0.9720621616902392,0.9720621616902392,0.9720621616902392,0.9720621616902392,0.0,0.0,0.0
sub-086,18,1,nan,0,0,False,True,0.9745876809155166,0.9745876809155166,0.9745876809155166,0.9745876809155166,0.0,0.0,0.0
sub-086,19,1,nan,0,0,False,True,0.9768089813980169,0.9768089813980169,0.9768089813980169,0.9768089813980169,0.0,0.0,0.0
sub-086,20,1,nan,0,0,False,True,0.9661385023727178,0.9661385023727178,0.9661385023727178,0.9661385023727178,0.0,0.0,0.0
sub-086,21,1,nan,0,0,False,True,0.9733449339555486,0.9733449339555486,0.9733449339555486,0.9733449339555486,0.0,0.0,0.0
sub-086,22,1,nan,0,0,False,True,0.9774178476872761,0.9774178476872761,0.9774178476872761,0.9774178476872761,0.0,0.0,0.0
sub-086,23,1,nan,0,0,False,True,0.973290103442952,0.973290103442952,0.973290103442952,0.973290103442952,0.0,0.0,0.0
sub-086,24,1,nan,0,0,False,True,0.9749065670048052,0.9749065670048052,0.9749065670048052,0.9749065670048052,0.0,0.0,0.0
sub-086,25,1,nan,0,0,False,True,0.9767019667170953,0.9767019667170953,0.9767019667170953,0.9767019667170953,0.0,0.0,0.0
sub-086,26,1,nan,0,0,False,True,0.9744828627510191,0.9744828627510191,0.9744828627510191,0.9744828627510191,0.0,0.0,0.0
sub-086,27,1,nan,0,0,False,True,0.9693808119755046,0.9693808119755046,0.9693808119755046,0.9693808119755046,0.0,0.0,0.0
sub-086,28,1,nan,0,0,False,True,0.9692909829896131,0.9692909829896131,0.9692909829896131,0.9692909829896131,0.0,0.0,0.0
sub-086,29,1,nan,0,0,False,True,0.9649823028842534,0.9649823028842534,0.9649823028842534,0.9649823028842534,0.0,0.0,0.0
sub-086,30,1,nan,0,0,False,True,0.9715227817745803,0.9715227817745803,0.9715227817745803,0.9715227817745803,0.0,0.0,0.0
sub-086,31,1,nan,0,0,False,True,0.9729607931500676,0.9729607931500676,0.9729607931500676,0.9729607931500676,0.0,0.0,0.0
sub-086,32,1,nan,0,0,False,True,0.9760397830018083,0.9760397830018083,0.9760397830018083,0.9760397830018083,0.0,0.0,0.0
sub-086,33,1,nan,0,0,False,True,0.9714546700159854,0.9714546700159854,0.9714546700159854,0.9714546700159854,0.0,0.0,0.0
sub-086,34,1,nan,0,0,False,True,0.9662104693419934,0.9662104693419934,0.9662104693419934,0.9662104693419934,0.0,0.0,0.0
sub-086,35,1,nan,0,0,False,True,0.9572987505930729,0.9572987505930729,0.9572987505930729,0.9572987505930729,0.0,0.0,0.0
sub-086,36,1,nan,0,0,False,True,0.9307323524549512,0.9307323524549512,0.9307323524549512,0.9307323524549512,0.0,0.0,0.0
sub-086,37,1,nan,0,0,False,True,0.9336820789740128,0.9336820789740128,0.9336820789740128,0.9336820789740128,0.0,0.0,0.0
sub-086,38,2,3.1622776601683795,484,0,True,True,0.9340469613259669,0.9419917864476386,0.9340469613259669,0.9340469613259669,0.007944825121671717,-0.007944825121671717,0.0
sub-086,39,3,3.0,904,0,True,True,0.9477776795970664,0.9634782608695652,0.9477776795970664,0.9477776795970664,0.015700581272498848,-0.015700581272498848,0.0
sub-086,40,3,3.0,781,0,True,True,0.9486945408070111,0.9547163057096832,0.9486945408070111,0.9486945408070111,0.006021764902672144,-0.006021764902672144,0.0
sub-086,41,3,4.0,636,0,True,True,0.9418230054955468,0.9427345644469315,0.9418230054955468,0.9418230054955468,0.0009115589513847278,-0.0009115589513847278,0.0
sub-086,42,2,5.0,306,0,True,True,0.9576430909631981,0.9590689417102278,0.9576430909631981,0.9576430909631981,0.0014258507470297221,-0.0014258507470297221,0.0
sub-086,43,2,nan,0,0,False,True,0.9591016792005769,0.9591016792005769,0.9591016792005769,0.9591016792005769,0.0,0.0,0.0
sub-086,44,1,nan,0,0,False,True,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.9387755102040817,0.0,0.0,0.0
sub-086,45,1,nan,0,0,False,True,0.9216846501914375,0.9216846501914375,0.9216846501914375,0.9216846501914375,0.0,0.0,0.0
sub-086,46,1,nan,0,0,False,True,0.935692087018886,0.935692087018886,0.935692087018886,0.935692087018886,0.0,0.0,0.0
sub-086,47,1,nan,0,0,False,True,0.9210729945834408,0.9210729945834408,0.9210729945834408,0.9210729945834408,0.0,0.0,0.0
sub-086,48,1,nan,0,0,False,True,0.8977528089887641,0.8977528089887641,0.8977528089887641,0.8977528089887641,0.0,0.0,0.0
sub-086,49,1,nan,0,0,False,True,0.8790212958767558,0.8790212958767558,0.8790212958767558,0.8790212958767558,0.0,0.0,0.0
sub-086,50,1,nan,0,0,False,True,0.8526561977948547,0.8526561977948547,0.8526561977948547,0.8526561977948547,0.0,0.0,0.0
sub-086,51,3,2.0,484,0,True,True,0.8034120214243206,0.8759565042287555,0.8780882948562171,0.8780882948562171,0.07254448280443493,0.002131790627461605,0.0
sub-086,52,4,3.605551275463989,415,0,False,True,0.5219012115563839,0.7434173669467787,0.7535816618911175,0.7685563997662186,0.22151615539039482,0.010164294944338792,0.014974737875101063
sub-086,53,4,33.61547262794322,0,0,False,True,0.31329032258064515,0.720510095642933,0.720510095642933,0.720510095642933,0.40721977306228785,0.0,0.0
sub-086,54,2,58.52349955359813,0,0,False,True,0.024922118380062305,0.710562414266118,0.710562414266118,0.710562414266118,0.6856402958860557,0.0,0.0
sub-086,55,2,nan,0,0,False,True,0.0,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.0,0.0
sub-086,56,1,nan,0,0,False,True,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.0,0.0,0.0
sub-086,57,1,nan,0,0,False,True,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.0,0.0,0.0
sub-086,58,1,nan,0,0,False,True,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0
