rank,subject_id,slice_index,dice,iou,precision,recall,hausdorff_px,mask_area_gt,mask_area_pred,x_min,y_min,x_max,y_max
1,sub-086,55,0.0,0.0,0.0,0.0,43.04648650006177,89,1948,68,47,144,94
2,sub-119,56,0.006829823562891292,0.0034266133637921186,0.0036968576709796672,0.04477611940298507,40.0,134,1623,57,64,144,99
3,sub-106,58,0.020674157303370785,0.01044504995458674,0.010787992495309569,0.24731182795698925,40.162171256046406,93,2132,64,61,144,102
4,sub-086,54,0.024922118380062305,0.012618296529968454,0.01419158641662443,0.10218978102189781,39.6232255123179,274,1973,57,44,144,95
5,sub-087,55,0.025350837483023993,0.012838147638697846,0.013084112149532711,0.4057971014492754,39.11521443121589,69,2140,69,51,144,98
6,sub-112,56,0.02779064381658175,0.014091122592766557,0.014822134387351778,0.2222222222222222,42.42640687119285,135,2024,51,47,144,86
7,sub-066,59,0.03700189753320683,0.018849685838569358,0.01910828025477707,0.582089552238806,35.4682957019364,67,2041,64,64,144,100
8,sub-084,50,0.044444444444444446,0.022727272727272728,0.022727272727272728,1.0,6.4031242374328485,1,44,70,47,81,58
9,sub-108,62,0.047619047619047616,0.024390243902439025,0.024390243902439025,1.0,4.47213595499958,1,41,135,70,144,81
10,sub-062,59,0.07407407407407407,0.038461538461538464,0.038461538461538464,1.0,5.830951894845301,2,52,128,78,140,90
11,sub-046,54,0.07692307692307693,0.04,0.04,1.0,5.385164807134504,2,50,135,59,144,71
12,sub-076,6,0.07739938080495357,0.040257648953301126,0.040257648953301126,1.0,16.55294535724685,25,621,86,67,129,92
13,sub-050,4,0.08163265306122448,0.0425531914893617,0.0425531914893617,1.0,4.47213595499958,2,47,81,75,92,87
14,sub-065,55,0.0901077375122429,0.04717948717948718,0.047619047619047616,0.8363636363636363,32.2490309931942,165,2898,65,44,144,101
15,sub-095,54,0.0957297043641483,0.05027106949236077,0.05117912694430507,0.7391304347826086,39.05124837953327,138,1993,59,45,144,90
16,sub-060,3,0.09811320754716982,0.051587301587301584,0.058823529411764705,0.29545454545454547,15.297058540778355,132,663,81,49,124,77
17,sub-082,57,0.10041573393028462,0.05286195286195286,0.05466573816155989,0.615686274509804,34.828149534535996,255,2872,50,35,144,100
18,sub-070,53,0.10363247863247864,0.05464788732394366,0.059218559218559216,0.41452991452991456,31.016124838541646,234,1638,60,46,144,105
19,sub-091,55,0.10641627543035993,0.05619834710743802,0.06079570853822083,0.4263322884012539,33.52610922848042,319,2237,55,48,144,112
20,sub-112,61,0.10810810810810811,0.05714285714285714,0.05714285714285714,1.0,5.0,2,35,137,69,144,81
